ticket_id,customer_id,created_at,closed_at,status,satisfaction_score
TKT000001,U000001,2024-11-30,2024-12-03,closed,4.0
TKT000002,U000001,2024-08-04,2024-08-09,closed,1.0
TKT000003,U000004,2023-04-11,2023-04-18,closed,1.0
TKT000004,U000004,2023-03-18,2023-03-25,closed,4.0
TKT000005,U000004,2023-03-19,2023-03-22,closed,1.0
TKT000006,U000005,2022-10-30,2022-11-03,closed,5.0
TKT000007,U000013,2023-06-14,2023-06-16,closed,5.0
TKT000008,U000016,2022-06-09,,open,
TKT000009,U000016,2022-06-10,,open,
TKT000010,U000016,2022-06-10,,open,
TKT000011,U000020,2024-10-17,2024-10-19,closed,4.0
TKT000012,U000022,2023-04-06,2023-04-12,closed,2.0
TKT000013,U000022,2023-04-11,2023-04-15,closed,3.0
TKT000014,U000024,2022-04-28,2022-05-05,closed,5.0
TKT000015,U000039,2023-08-24,2023-08-28,closed,5.0
TKT000016,U000039,2023-04-16,2023-04-20,closed,3.0
TKT000017,U000039,2023-07-26,2023-07-27,closed,1.0
TKT000018,U000043,2023-03-14,2023-03-15,closed,1.0
TKT000019,U000043,2023-03-21,2023-03-22,closed,1.0
TKT000020,U000044,2023-03-28,,open,
TKT000021,U000044,2023-03-28,,open,
TKT000022,U000044,2023-03-24,2023-03-29,closed,3.0
TKT000023,U000046,2022-12-19,,open,
TKT000024,U000046,2022-12-18,,open,
TKT000025,U000048,2023-03-01,2023-03-03,closed,5.0
TKT000026,U000048,2024-03-22,2024-03-28,closed,3.0
TKT000027,U000048,2024-05-01,2024-05-03,closed,5.0
TKT000028,U000053,2022-05-24,,open,
TKT000029,U000053,2022-05-24,2022-05-26,closed,5.0
TKT000030,U000055,2023-11-22,2023-11-23,closed,1.0
TKT000031,U000055,2022-07-30,2022-08-06,closed,1.0
TKT000032,U000055,2023-04-01,2023-04-07,closed,2.0
TKT000033,U000056,2023-08-25,2023-08-29,closed,5.0
TKT000034,U000056,2022-09-30,2022-10-02,closed,4.0
TKT000035,U000056,2024-11-21,2024-11-23,closed,5.0
TKT000036,U000060,2024-02-28,2024-03-01,closed,4.0
TKT000037,U000060,2023-05-13,2023-05-15,closed,2.0
TKT000038,U000060,2024-06-16,2024-06-22,closed,3.0
TKT000039,U000072,2023-05-08,2023-05-13,closed,2.0
TKT000040,U000072,2023-05-02,2023-05-07,closed,4.0
TKT000041,U000072,2023-05-10,2023-05-14,closed,1.0
TKT000042,U000077,2022-07-31,2022-08-05,closed,1.0
TKT000043,U000077,2022-07-04,2022-07-08,closed,3.0
TKT000044,U000094,2024-10-11,2024-10-14,closed,1.0
TKT000045,U000094,2024-08-31,2024-09-02,closed,4.0
TKT000046,U000094,2024-05-01,2024-05-08,closed,3.0
TKT000047,U000098,2022-02-21,,open,
TKT000048,U000098,2022-02-20,2022-02-21,closed,5.0
TKT000049,U000098,2022-02-20,,open,
TKT000050,U000099,2022-06-06,,open,
TKT000051,U000099,2022-06-06,,open,
TKT000052,U000100,2022-01-23,2022-01-28,closed,5.0
TKT000053,U000103,2023-03-03,,open,
TKT000054,U000103,2023-03-02,,open,
TKT000055,U000105,2023-08-14,2023-08-19,closed,3.0
TKT000056,U000109,2023-09-05,2023-09-07,closed,1.0
TKT000057,U000109,2024-06-16,2024-06-20,closed,1.0
TKT000058,U000109,2023-04-05,2023-04-06,closed,1.0
TKT000059,U000116,2024-06-16,2024-06-18,closed,3.0
TKT000060,U000119,2023-09-19,2023-09-24,closed,4.0
TKT000061,U000119,2024-11-05,2024-11-09,closed,4.0
TKT000062,U000119,2023-12-02,2023-12-09,closed,4.0
TKT000063,U000120,2023-04-20,2023-04-25,closed,4.0
TKT000064,U000120,2023-02-12,2023-02-17,closed,3.0
TKT000065,U000121,2022-09-27,2022-10-02,closed,3.0
TKT000066,U000123,2023-03-31,2023-04-04,closed,4.0
TKT000067,U000124,2024-01-09,2024-01-15,closed,4.0
TKT000068,U000124,2024-06-24,2024-06-30,closed,5.0
TKT000069,U000128,2022-12-22,,open,
TKT000070,U000128,2022-12-23,,open,
TKT000071,U000128,2022-12-22,2022-12-23,closed,2.0
TKT000072,U000130,2023-05-24,2023-05-27,closed,2.0
TKT000073,U000133,2022-07-04,2022-07-07,closed,1.0
