scenario,month,mrr,arr,users,churn_rate,ltv_cac_ratio,net_revenue_impact
Base Case,1,108184.68,1298216.2,1990,0.5782,2.17,-121117.32
Base Case,2,51041.53,612498.4,939,0.5782,2.17,-178260.47
Base Case,3,24081.4,288976.75,443,0.5782,2.17,-205220.6
Base Case,4,11361.6,136339.23,209,0.5782,2.17,-217940.4
Base Case,5,5360.4,64324.85,99,0.5782,2.17,-223941.6
Base Case,6,2529.04,30348.46,46,0.5782,2.2,-226772.96
Base Case,7,1193.2,14318.41,22,0.5782,2.17,-228108.8
Base Case,8,562.95,6755.42,11,0.5782,2.05,-228739.05
Base Case,9,265.6,3187.21,5,0.5782,2.12,-229036.4
Base Case,10,125.31,1503.73,3,0.5782,1.67,-229176.69
Base Case,11,59.12,709.46,2,0.5782,1.18,-229242.88
Base Case,12,27.89,334.72,1,0.5782,1.12,-229274.11
High Churn (+20%),1,81668.2,980018.4,1502,0.69384,2.17,-147633.8
High Churn (+20%),2,29086.95,349043.35,535,0.69384,2.17,-200215.05
High Churn (+20%),3,10359.61,124315.28,190,0.69384,2.18,-218942.39
High Churn (+20%),4,3689.68,44276.13,68,0.69384,2.17,-225612.32
High Churn (+20%),5,1314.12,15769.39,24,0.69384,2.19,-227987.88
High Churn (+20%),6,468.04,5616.42,9,0.69384,2.08,-228833.96
High Churn (+20%),7,166.7,2000.35,3,0.69384,2.22,-229135.3
High Churn (+20%),8,59.37,712.44,1,0.69384,2.37,-229242.63
High Churn (+20%),9,21.15,253.74,1,0.69384,0.85,-229280.85
High Churn (+20%),10,7.53,90.37,1,0.69384,0.3,-229294.47
High Churn (+20%),11,2.68,32.19,1,0.69384,0.11,-229299.32
High Churn (+20%),12,0.96,11.46,1,0.69384,0.04,-229301.04
Reduced Churn (-15%),1,128072.05,1536864.55,2355,0.49147,2.18,-101229.95
Reduced Churn (-15%),2,71532.08,858384.96,1315,0.49147,2.18,-157769.92
Reduced Churn (-15%),3,39952.81,479433.75,734,0.49147,2.18,-189349.19
Reduced Churn (-15%),4,22314.84,267778.13,410,0.49147,2.18,-206987.16
Reduced Churn (-15%),5,12463.51,149562.12,229,0.49147,2.18,-216838.49
Reduced Churn (-15%),6,6961.24,83534.93,128,0.49147,2.18,-222340.76
Reduced Churn (-15%),7,3888.06,46656.77,72,0.49147,2.16,-225413.94
Reduced Churn (-15%),8,2171.6,26059.2,40,0.49147,2.17,-227130.4
Reduced Churn (-15%),9,1212.9,14554.85,23,0.49147,2.11,-228089.1
Reduced Churn (-15%),10,677.44,8129.32,13,0.49147,2.08,-228624.56
Reduced Churn (-15%),11,378.37,4540.47,7,0.49147,2.16,-228923.63
Reduced Churn (-15%),12,211.33,2535.99,4,0.49147,2.11,-229090.67
Increased Marketing (+25% CAC),1,109904.45,1318853.38,2022,0.5782,1.74,-119397.55
Increased Marketing (+25% CAC),2,52677.2,632126.43,969,0.5782,1.74,-176624.8
Increased Marketing (+25% CAC),3,25248.18,302978.2,464,0.5782,1.74,-204053.82
Increased Marketing (+25% CAC),4,12101.45,145217.45,222,0.5782,1.74,-217200.55
Increased Marketing (+25% CAC),5,5800.23,69602.72,106,0.5782,1.75,-223501.77
Increased Marketing (+25% CAC),6,2780.05,33360.59,51,0.5782,1.74,-226521.95
Increased Marketing (+25% CAC),7,1332.48,15989.73,24,0.5782,1.78,-227969.52
Increased Marketing (+25% CAC),8,638.66,7663.88,12,0.5782,1.7,-228663.34
Increased Marketing (+25% CAC),9,306.11,3673.3,6,0.5782,1.63,-228995.89
Increased Marketing (+25% CAC),10,146.72,1760.61,3,0.5782,1.56,-229155.28
Increased Marketing (+25% CAC),11,70.32,843.86,2,0.5782,1.13,-229231.68
Increased Marketing (+25% CAC),12,33.71,404.46,1,0.5782,1.08,-229268.29
Improved Conversion (+10%),1,108184.68,1298216.2,1990,0.5782,2.17,-121117.32
Improved Conversion (+10%),2,51041.53,612498.4,939,0.5782,2.17,-178260.47
Improved Conversion (+10%),3,24081.4,288976.75,443,0.5782,2.17,-205220.6
Improved Conversion (+10%),4,11361.6,136339.23,209,0.5782,2.17,-217940.4
Improved Conversion (+10%),5,5360.4,64324.85,99,0.5782,2.17,-223941.6
Improved Conversion (+10%),6,2529.04,30348.46,46,0.5782,2.2,-226772.96
Improved Conversion (+10%),7,1193.2,14318.41,22,0.5782,2.17,-228108.8
Improved Conversion (+10%),8,562.95,6755.42,11,0.5782,2.05,-228739.05
Improved Conversion (+10%),9,265.6,3187.21,5,0.5782,2.12,-229036.4
Improved Conversion (+10%),10,125.31,1503.73,3,0.5782,1.67,-229176.69
Improved Conversion (+10%),11,59.12,709.46,2,0.5782,1.18,-229242.88
Improved Conversion (+10%),12,27.89,334.72,1,0.5782,1.12,-229274.11
Pricing Change (+15% ARPU),1,124412.39,1492948.63,1990,0.5782,2.5,-104889.61
Pricing Change (+15% ARPU),2,67502.43,810029.14,939,0.5782,2.88,-161799.57
Pricing Change (+15% ARPU),3,36624.79,439497.51,443,0.5782,3.31,-192677.21
Pricing Change (+15% ARPU),4,19871.51,238458.16,209,0.5782,3.8,-209430.49
Pricing Change (+15% ARPU),5,10781.69,129380.25,99,0.5782,4.36,-218520.31
Pricing Change (+15% ARPU),6,5849.82,70197.84,46,0.5782,5.09,-223452.18
Pricing Change (+15% ARPU),7,3173.94,38087.24,22,0.5782,5.77,-226128.06
Pricing Change (+15% ARPU),8,1722.08,20664.99,11,0.5782,6.26,-227579.92
Pricing Change (+15% ARPU),9,934.35,11212.21,5,0.5782,7.47,-228367.65
Pricing Change (+15% ARPU),10,506.95,6083.41,3,0.5782,6.76,-228795.05
Pricing Change (+15% ARPU),11,275.06,3300.67,2,0.5782,5.5,-229026.94
Pricing Change (+15% ARPU),12,149.24,1790.85,1,0.5782,5.97,-229152.76
